number,district,address,amount
4.110,Калининский ,"Верности ул., д.38, к.1",11
4.111,Калининский ,"Верности ул., д.40",11
4.112,Калининский ,"Верности ул., д.42",2
4.113,Калининский ,"Верности ул., д.44, к.1",2
4.114,Калининский ,"Верности ул., д.46",2
4.115,Калининский ,"Верности ул., д.48",8
4.116,Калининский ,"Верности ул., д.50",8
4.117,Калининский ,"Верности ул., д.52",6
4.118,Калининский ,"Верности ул., д.54",9
4.119,Калининский ,"Герасимовская ул., д.11",2
4.120,Калининский ,"Герасимовская ул., д.12",2
4.121,Калининский ,"Герасимовская ул., д.15",3
4.122,Калининский ,"Герасимовская ул., д.5",2
4.123,Калининский ,"Гражданский пр., д.104, к.1",17
4.124,Калининский ,"Гражданский пр., д.104, к.3",1
4.125,Калининский ,"Гражданский пр., д.105, к.2",6
4.126,Калининский ,"Гражданский пр., д.105, к.3",6
4.127,Калининский ,"Гражданский пр., д.105, к.4",9
4.128,Калининский ,"Гражданский пр., д.106, к.2",6
4.129,Калининский ,"Гражданский пр., д.106, к.3",6
4.130,Калининский ,"Гражданский пр., д.107, к.1",1
4.131,Калининский ,"Гражданский пр., д.107, к.2",6
4.132,Калининский ,"Гражданский пр., д.107, к.3",9
4.133,Калининский ,"Гражданский пр., д.108, к.3",1
4.134,Калининский ,"Гражданский пр., д.11",2
4.135,Калининский ,"Гражданский пр., д.110, к.4",5
4.136,Калининский ,"Гражданский пр., д.111, к.1",1
4.137,Калининский ,"Гражданский пр., д.112, к.1",1
4.138,Калининский ,"Гражданский пр., д.114, к.1",10
4.139,Калининский ,"Гражданский пр., д.115, к.1",9
4.140,Калининский ,"Гражданский пр., д.115, к.4",1
4.141,Калининский ,"Гражданский пр., д.116, к.2",6
4.142,Калининский ,"Гражданский пр., д.116, к.3",9
4.143,Калининский ,"Гражданский пр., д.117, к.3",6
4.144,Калининский ,"Гражданский пр., д.117, к.4",9
4.145,Калининский ,"Гражданский пр., д.117, к.5",1
4.146,Калининский ,"Гражданский пр., д.118, к.1",2
4.147,Калининский ,"Гражданский пр., д.121/100",4
4.148,Калининский ,"Гражданский пр., д.122, к.4",9
4.149,Калининский ,"Гражданский пр., д.123, к.1",7
4.150,Калининский ,"Гражданский пр., д.123, к.2",6
4.151,Калининский ,"Гражданский пр., д.124, к.2",6
4.152,Калининский ,"Гражданский пр., д.124, к.3",6
4.153,Калининский ,"Гражданский пр., д.125, к.2",6
4.154,Калининский ,"Гражданский пр., д.126, к.2",6
4.155,Калининский ,"Гражданский пр., д.128, к.1",6
4.156,Калининский ,"Гражданский пр., д.13, к.1",2
4.157,Калининский ,"Гражданский пр., д.130, к.1",11
4.158,Калининский ,"Гражданский пр., д.130, к.2",6
4.159,Калининский ,"Гражданский пр., д.130, к.4",6
4.160,Калининский ,"Гражданский пр., д.15, к.1",2
4.161,Калининский ,"Гражданский пр., д.15, к.2",6
4.162,Калининский ,"Гражданский пр., д.15, к.3",6
4.163,Калининский ,"Гражданский пр., д.15, к.4",6
4.164,Калининский ,"Гражданский пр., д.17",5
4.165,Калининский ,"Гражданский пр., д.18",2
4.166,Калининский ,"Гражданский пр., д.19, к.1",3
4.167,Калининский ,"Гражданский пр., д.19, к.3",5
4.168,Калининский ,"Гражданский пр., д.20",4
4.169,Калининский ,"Гражданский пр., д.21, к.1",5
4.170,Калининский ,"Гражданский пр., д.21, к.2",7
4.171,Калининский ,"Гражданский пр., д.25, к.1",7
4.172,Калининский ,"Гражданский пр., д.25, к.2",7
4.173,Калининский ,"Гражданский пр., д.29",5
4.174,Калининский ,"Гражданский пр., д.31, к.1",10
4.175,Калининский ,"Гражданский пр., д.31, к.2",6
4.176,Калининский ,"Гражданский пр., д.31, к.3",6
4.177,Калининский ,"Гражданский пр., д.31, к.4",6
4.178,Калининский ,"Гражданский пр., д.31, к.5",1
4.179,Калининский ,"Гражданский пр., д.4, к.1",2
4.180,Калининский ,"Гражданский пр., д.51",1
4.181,Калининский ,"Гражданский пр., д.6",12
4.182,Калининский ,"Гражданский пр., д.68",3
4.183,Калининский ,"Гражданский пр., д.75, к.1",2
4.184,Калининский ,"Гражданский пр., д.75, к.5",1
4.185,Калининский ,"Гражданский пр., д.77",1
4.186,Калининский ,"Гражданский пр., д.79, к.1",11
4.187,Калининский ,"Гражданский пр., д.79, к.2",6
4.188,Калининский ,"Гражданский пр., д.83, к.1",2
4.189,Калининский ,"Гражданский пр., д.83, к.5",2
4.190,Калининский ,"Гражданский пр., д.84",3
4.191,Калининский ,"Гражданский пр., д.85",1
4.192,Калининский ,"Гражданский пр., д.86, к.1",1
4.193,Калининский ,"Гражданский пр., д.86, к.2",1
4.194,Калининский ,"Гражданский пр., д.9",1
4.195,Калининский ,"Гражданский пр., д.9, к.3",4
4.196,Калининский ,"Гражданский пр., д.9, к.4",4
4.197,Калининский ,"Гражданский пр., д.9, к.5",4
4.198,Калининский ,"Гражданский пр., д.9, к.6",4
4.199,Калининский ,"Гражданский пр., д.9, к.7",4
4.200,Калининский ,"Гражданский пр., д.9, к.8",4
4.201,Калининский ,"Гражданский пр., д.90, к.1",8
4.202,Калининский ,"Гражданский пр., д.90, к.4",2
4.203,Калининский ,"Гражданский пр., д.90, к.6",5
4.204,Калининский ,"Гражданский пр., д.90, к.7",5
4.205,Калининский ,"Гражданский пр., д.92, к.1",10
4.206,Калининский ,"Гражданский пр., д.92, к.3",1
4.207,Калининский ,"Гражданский пр., д.94, к.2",8
4.208,Калининский ,"Демьяна Бедного ул., д.1, к.1",4
4.209,Калининский ,"Демьяна Бедного ул., д.1, к.2",9
4.210,Калининский ,"Демьяна Бедного ул., д.10, к.1",9
4.211,Калининский ,"Демьяна Бедного ул., д.10, к.4",5
4.212,Калининский ,"Демьяна Бедного ул., д.12, к.2",3
4.213,Калининский ,"Демьяна Бедного ул., д.14, к.2",9
4.214,Калининский ,"Демьяна Бедного ул., д.14, к.3",7
4.215,Калининский ,"Демьяна Бедного ул., д.16, к.1",9
4.216,Калининский ,"Демьяна Бедного ул., д.16, к.2",9
4.217,Калининский ,"Демьяна Бедного ул., д.18, к.2",6
4.218,Калининский ,"Демьяна Бедного ул., д.2, к.2",6
4.219,Калининский ,"Демьяна Бедного ул., д.2, к.3",6
4.220,Калининский ,"Демьяна Бедного ул., д.22, к.3",2
4.221,Калининский ,"Демьяна Бедного ул., д.22, к.5",1
4.222,Калининский ,"Демьяна Бедного ул., д.26, к.1",2
4.223,Калининский ,"Демьяна Бедного ул., д.26, к.3",8
4.224,Калининский ,"Демьяна Бедного ул., д.28",2
4.225,Калининский ,"Демьяна Бедного ул., д.30, к.1",9
4.226,Калининский ,"Демьяна Бедного ул., д.30, к.2",9
4.227,Калининский ,"Демьяна Бедного ул., д.30, к.4",6
4.228,Калининский ,"Демьяна Бедного ул., д.30, к.5",9
4.229,Калининский ,"Демьяна Бедного ул., д.34",1
4.230,Калининский ,"Демьяна Бедного ул., д.4, к.1",9
4.231,Калининский ,"Демьяна Бедного ул., д.4, к.2",2
4.232,Калининский ,"Демьяна Бедного ул., д.6, к.2",2
4.233,Калининский ,"Демьяна Бедного ул., д.8, к.2",5
4.234,Калининский ,"Жукова ул., д.11, лит.Б",1
4.235,Калининский ,"Жукова ул., д.20",1
4.236,Калининский ,"Замшина ул., д.14",2
4.237,Калининский ,"Замшина ул., д.27, к.4",5
4.238,Калининский ,"Замшина ул., д.29, к.3",2
4.239,Калининский ,"Замшина ул., д.29, к.4",2
4.240,Калининский ,"Замшина ул., д.31, к.2",3
4.241,Калининский ,"Замшина ул., д.33",1
4.242,Калининский ,"Замшина ул., д.39, к.1",5
4.243,Калининский ,"Замшина ул., д.39, к.2",4
4.244,Калининский ,"Замшина ул., д.42",2
4.245,Калининский ,"Замшина ул., д.50",2
4.246,Калининский ,"Замшина ул., д.52",3
4.247,Калининский ,"Замшина ул., д.54",9
4.248,Калининский ,"Замшина ул., д.58, к.2",1
4.249,Калининский ,"Замшина ул., д.60",9
4.250,Калининский ,"Замшина ул., д.62",9
4.251,Калининский ,"Замшина ул., д.68",6
4.252,Калининский ,"Замшина ул., д.70",6
4.253,Калининский ,"Карпинского ул., д.13",6
4.254,Калининский ,"Карпинского ул., д.15",1
4.255,Калининский ,"Карпинского ул., д.18",7
4.256,Калининский ,"Карпинского ул., д.21",8
4.257,Калининский ,"Карпинского ул., д.22",8
4.258,Калининский ,"Карпинского ул., д.23, к.1",8
4.259,Калининский ,"Карпинского ул., д.23, к.2",5
4.260,Калининский ,"Карпинского ул., д.23, к.3",5
4.261,Калининский ,"Карпинского ул., д.24",5
4.262,Калининский ,"Карпинского ул., д.25",5
4.263,Калининский ,"Карпинского ул., д.26",8
4.264,Калининский ,"Карпинского ул., д.27, к.2",2
4.265,Калининский ,"Карпинского ул., д.28, к.1",8
4.266,Калининский ,"Карпинского ул., д.28, к.2",5
4.267,Калининский ,"Карпинского ул., д.28, к.3",5
4.268,Калининский ,"Карпинского ул., д.28, к.4",5
4.269,Калининский ,"Карпинского ул., д.28, к.5",5
4.270,Калининский ,"Карпинского ул., д.28, к.6",5
4.271,Калининский ,"Карпинского ул., д.29",5
4.272,Калининский ,"Карпинского ул., д.31, к.1",8
4.273,Калининский ,"Карпинского ул., д.31, к.2",5
4.274,Калининский ,"Карпинского ул., д.31, к.3",5
4.275,Калининский ,"Карпинского ул., д.32",8
4.276,Калининский ,"Карпинского ул., д.34, к.5",4
4.277,Калининский ,"Карпинского ул., д.34, к.6",4
4.278,Калининский ,"Карпинского ул., д.36, к.1",9
4.279,Калининский ,"Карпинского ул., д.36, к.2",5
4.280,Калининский ,"Карпинского ул., д.36, к.3",5
4.281,Калининский ,"Карпинского ул., д.36, к.4",5
4.282,Калининский ,"Карпинского ул., д.36, к.5",5
4.283,Калининский ,"Карпинского ул., д.36, к.6",5
4.284,Калининский ,"Карпинского ул., д.36, к.7",8
4.285,Калининский ,"Карпинского ул., д.38, к.2",4
4.286,Калининский ,"Карпинского ул., д.38, к.3",8
4.287,Калининский ,"Карпинского ул., д.38, к.7",5
4.288,Калининский ,"Карпинского ул., д.38, к.8",2
4.289,Калининский ,"Карпинского ул., д.6",7
4.290,Калининский ,"Карпинского ул., д.9, к.3",1
4.291,Калининский ,"Киришская ул., д.5",7
4.292,Калининский ,"Киришская ул., д.5, к.3",1
4.293,Калининский ,"Ключевая ул., д.15",5
4.294,Калининский ,"Ключевая ул., д.17",5
4.295,Калининский ,"Ключевая ул., д.27",5
4.296,Калининский ,"Ключевая ул., д.29",5
4.297,Калининский ,"Ключевая ул., д.31",4
4.298,Калининский ,"Ключевая ул., д.5",5
4.299,Калининский ,"Ключевая ул., д.7",5
4.300,Калининский ,"Ключевая ул., д.9",5
4.301,Калининский ,"Комсомола ул., д.13",2
4.302,Калининский ,"Комсомола ул., д.16",3
4.303,Калининский ,"Кондратьевский пр., д.31",6
4.304,Калининский ,"Кондратьевский пр., д.32",8
4.305,Калининский ,"Кондратьевский пр., д.33",8
4.306,Калининский ,"Кондратьевский пр., д.39",7
4.307,Калининский ,"Кондратьевский пр., д.41, к.2",3
4.308,Калининский ,"Кондратьевский пр., д.49А",6
4.309,Калининский ,"Кондратьевский пр., д.51, к.4",4
4.310,Калининский ,"Кондратьевский пр., д.52",6
4.311,Калининский ,"Кондратьевский пр., д.54",2
4.312,Калининский ,"Кондратьевский пр., д.55",3
4.313,Калининский ,"Кондратьевский пр., д.57",5
4.314,Калининский ,"Кондратьевский пр., д.59",4
4.315,Калининский ,"Кондратьевский пр., д.60",3
4.316,Калининский ,"Кондратьевский пр., д.61",5
4.317,Калининский ,"Кондратьевский пр., д.66, к.1",2
4.318,Калининский ,"Кондратьевский пр., д.70, к.1",2
4.319,Калининский ,"Кондратьевский пр., д.75, к.2",4
4.320,Калининский ,"Кондратьевский пр., д.81, к.1",9
4.321,Калининский ,"Кондратьевский пр., д.83, к.1",6
4.322,Калининский ,"Кондратьевский пр., д.85, к.2",4
4.323,Калининский ,"Кондратьевский пр., д.89",6
4.324,Калининский ,"Культуры пр., д.11, к.1",6
4.325,Калининский ,"Культуры пр., д.11, к.3",9
4.326,Калининский ,"Культуры пр., д.11, к.4",1
4.327,Калининский ,"Культуры пр., д.11, к.5",7
4.328,Калининский ,"Культуры пр., д.11, к.6",6
4.329,Калининский ,"Культуры пр., д.11, к.7",5
4.330,Калининский ,"Культуры пр., д.13",2
4.331,Калининский ,"Культуры пр., д.15, к.1",9
4.332,Калининский ,"Культуры пр., д.15, к.2",9
4.333,Калининский ,"Культуры пр., д.15, к.3",6
4.334,Калининский ,"Культуры пр., д.15, к.6",7
4.335,Калининский ,"Культуры пр., д.15, к.7",5
4.336,Калининский ,"Культуры пр., д.17",7
4.337,Калининский ,"Культуры пр., д.21, к.1",6
4.338,Калининский ,"Культуры пр., д.21, к.4",4
4.339,Калининский ,"Культуры пр., д.27, к.3",1
4.340,Калининский ,"Культуры пр., д.29, к.5",2
4.341,Калининский ,"Культуры пр., д.29, к.6",6
4.342,Калининский ,"Культуры пр., д.31, к.1",2
4.343,Калининский ,"Культуры пр., д.7, к.1",11
4.344,Калининский ,"Культуры пр., д.7, к.2",6
4.345,Калининский ,"Культуры пр., д.7, к.3",3
4.346,Калининский ,"Культуры пр., д.9, к.2",9
4.347,Калининский ,"Ленина пл., д.1",1
4.348,Калининский ,"Ленина пл., д.3",2
4.349,Калининский ,"Ленина пл., д.4",3
4.350,Калининский ,"Ленина пл., д.6",10
4.351,Калининский ,"Лесной пр., д.15",4
4.352,Калининский ,"Лесной пр., д.5/6",2
4.353,Калининский ,"Лужская ул., д.10, к.2",6
4.354,Калининский ,"Лужская ул., д.14, к.1",11
4.355,Калининский ,"Лужская ул., д.14, к.2",6
4.356,Калининский ,"Лужская ул., д.14, к.3",6
4.357,Калининский ,"Лужская ул., д.4, к.1",9
4.358,Калининский ,"Лужская ул., д.4, к.2",6
4.359,Калининский ,"Луначарского пр., д.100",12
4.360,Калининский ,"Луначарского пр., д.104, к.2",2
4.361,Калининский ,"Луначарского пр., д.106",12
4.362,Калининский ,"Луначарского пр., д.110",2
4.363,Калининский ,"Луначарского пр., д.78, к.1",11
4.364,Калининский ,"Луначарского пр., д.78, к.2",7
4.365,Калининский ,"Луначарского пр., д.78, к.3",8
4.366,Калининский ,"Луначарского пр., д.78, к.4",3
4.367,Калининский ,"Луначарского пр., д.78, к.5",2
4.368,Калининский ,"Луначарского пр., д.80, к.2",5
4.369,Калининский ,"Луначарского пр., д.80, к.4",9
4.370,Калининский ,"Луначарского пр., д.80, к.5",5
4.371,Калининский ,"Луначарского пр., д.84, к.1",6
4.372,Калининский ,"Луначарского пр., д.84, к.3",6
4.373,Калининский ,"Луначарского пр., д.84, к.4",4
4.374,Калининский ,"Луначарского пр., д.86, к.2",5
4.375,Калининский ,"Луначарского пр., д.86, к.3",3
4.376,Калининский ,"Луначарского пр., д.88, к.1",15
4.377,Калининский ,"Луначарского пр., д.94, к.1",2
4.378,Калининский ,"Луначарского пр., д.96, к.2, п.1",1
4.379,Калининский ,"Лунчарского пр., д.78, к.2",2
4.380,Калининский ,"Маршала Блюхера пр., д.12",1
4.381,Калининский ,"Маршала Блюхера пр., д.14",12
4.382,Калининский ,"Маршала Блюхера пр., д.31",3
4.383,Калининский ,"Маршала Блюхера пр., д.35",1
4.384,Калининский ,"Меншиковский пр., д.13, к.3",5
4.385,Калининский ,"Меншиковский пр., д.15, к.2",8
4.386,Калининский ,"Меншиковский пр., д.15, к.3",1
4.387,Калининский ,"Меншиковский пр., д.19",1
4.388,Калининский ,"Металлистов пр., д.103",2
4.389,Калининский ,"Металлистов пр., д.111, п.1",3
4.390,Калининский ,"Металлистов пр., д.112",2
4.391,Калининский ,"Металлистов пр., д.112, к.1",5
4.392,Калининский ,"Металлистов пр., д.112, к.2",4
4.393,Калининский ,"Металлистов пр., д.113",4
4.394,Калининский ,"Металлистов пр., д.114, к.2",2
4.395,Калининский ,"Металлистов пр., д.122",4
4.396,Калининский ,"Металлистов пр., д.59",3
4.397,Калининский ,"Металлистов пр., д.84",4
4.398,Калининский ,"Металлистов пр., д.86",6
4.399,Калининский ,"Металлистов пр., д.88",4
4.400,Калининский ,"Металлистов пр., д.89",4
4.401,Калининский ,"Металлистов пр., д.90",5
4.402,Калининский ,"Металлистов пр., д.92",5
4.403,Калининский ,"Металлистов пр., д.93",1
4.404,Калининский ,"Металлистов пр., д.98",1
4.405,Калининский ,"Металлистов пр., д.99",1
4.406,Калининский ,"Мечникова пр., д.10",10
4.407,Калининский ,"Мечникова пр., д.11",8
4.408,Калининский ,"Мечникова пр., д.14",2
4.409,Калининский ,"Мечникова пр., д.16",3
4.410,Калининский ,"Мечникова пр., д.17",14
4.411,Калининский ,"Мечникова пр., д.18",10
4.412,Калининский ,"Мечникова пр., д.3, к.1",5
4.413,Калининский ,"Мечникова пр., д.3, к.2",5
4.414,Калининский ,"Мечникова пр., д.5, к.1",2
4.415,Калининский ,"Мечникова пр., д.5, к.2",6
4.416,Калининский ,"Мечникова пр., д.7",5
4.417,Калининский ,"Мечникова пр., д.8, к.1",5
4.418,Калининский ,"Мечникова пр., д.8, к.2",4
4.419,Калининский ,"Мечникова пр., д.9",5
4.420,Калининский ,"Науки пр., д.10, к.2",9
4.421,Калининский ,"Науки пр., д.11",1
4.422,Калининский ,"Науки пр., д.11, к.3",2
4.423,Калининский ,"Науки пр., д.12",6
4.424,Калининский ,"Науки пр., д.12, к.1",5
4.425,Калининский ,"Науки пр., д.12, к.3",1
4.426,Калининский ,"Науки пр., д.12, к.4",4
4.427,Калининский ,"Науки пр., д.12, к.5",4
4.428,Калининский ,"Науки пр., д.12, к.6",6
4.429,Калининский ,"Науки пр., д.12, к.7",4
4.430,Калининский ,"Науки пр., д.12, к.8",4
4.431,Калининский ,"Науки пр., д.13, к.1",2
4.432,Калининский ,"Науки пр., д.13, к.4",1
4.433,Калининский ,"Науки пр., д.14, к.2",9
4.434,Калининский ,"Науки пр., д.14, к.3",5
4.435,Калининский ,"Науки пр., д.14, к.4",5
4.436,Калининский ,"Науки пр., д.14, к.5",1
4.437,Калининский ,"Науки пр., д.14, к.7",8
4.438,Калининский ,"Науки пр., д.15, к.2",5
4.439,Калининский ,"Науки пр., д.18",9
4.440,Калининский ,"Науки пр., д.2",5
4.441,Калининский ,"Науки пр., д.20",6
4.442,Калининский ,"Науки пр., д.22",6
4.443,Калининский ,"Науки пр., д.24, к.2",1
4.444,Калининский ,"Науки пр., д.24, к.3",1
4.445,Калининский ,"Науки пр., д.26",8
4.446,Калининский ,"Науки пр., д.28",8
4.447,Калининский ,"Науки пр., д.30, к.1",2
4.448,Калининский ,"Науки пр., д.30, к.2",3
4.449,Калининский ,"Науки пр., д.30, к.3",1
4.450,Калининский ,"Науки пр., д.31",5
4.451,Калининский ,"Науки пр., д.32",5
4.452,Калининский ,"Науки пр., д.34",5
4.453,Калининский ,"Науки пр., д.4, к.2",2
4.454,Калининский ,"Науки пр., д.40",8
4.455,Калининский ,"Науки пр., д.41",3
4.456,Калининский ,"Науки пр., д.42",1
4.457,Калининский ,"Науки пр., д.44",33
4.458,Калининский ,"Науки пр., д.45, к.2",5
4.459,Калининский ,"Науки пр., д.46",1
4.460,Калининский ,"Науки пр., д.6",2
4.461,Калининский ,"Науки пр., д.65",5
4.462,Калининский ,"Науки пр., д.69",9
4.463,Калининский ,"Науки пр., д.71, к.3",6
4.464,Калининский ,"Науки пр., д.73, к.1",11
4.465,Калининский ,"Науки пр., д.73, к.2",6
4.466,Калининский ,"Науки пр., д.77, к.2",9
4.467,Калининский ,"Науки пр., д.79, к.1",9
4.468,Калининский ,"Науки пр., д.79, к.2",6
4.469,Калининский ,"Науки пр., д.8, к.1",8
4.470,Калининский ,"Непокоренных пр., д.12, к.2",3
4.471,Калининский ,"Непокоренных пр., д.13, к.7",1
4.472,Калининский ,"Непокоренных пр., д.16, к.1",5
4.473,Калининский ,"Непокоренных пр., д.48",3
4.474,Калининский ,"Непокоренных пр., д.50",5
4.475,Калининский ,"Обручевых ул., д.8",6
4.476,Калининский ,"Ольги Форш ул., д.1, к.4",2
4.477,Калининский ,"Ольги Форш ул., д.13",2
4.478,Калининский ,"Ольги Форш ул., д.15, к.1",2
4.479,Калининский ,"Ольги Форш ул., д.17, к.2",3
4.480,Калининский ,"Ольги Форш ул., д.5",1
4.481,Калининский ,"Ольги Форш ул., д.7, к.1",4
4.482,Калининский ,"Ольги Форш ул., д.7, к.2",3
4.483,Калининский ,"Ольги Форш ул., д.9, к.1",2
4.484,Калининский ,"Пискаревский пр., д.14",3
4.485,Калининский ,"Пискаревский пр., д.16",6
4.486,Калининский ,"Пискаревский пр., д.35",2
4.487,Калининский ,"Пискаревский пр., д.40",5
4.488,Калининский ,"Пискаревский пр., д.52",2
4.489,Калининский ,"Пискаревский пр., д.58",2
4.490,Калининский ,"Политехническая ул., д.17",2
4.491,Калининский ,"Политехническая ул., д.17, к.1",2
4.492,Калининский ,"Полюстровский пр., д.11, к.2",4
4.493,Калининский ,"Полюстровский пр., д.19, к.1",5
4.494,Калининский ,"Полюстровский пр., д.19, к.2",4
4.495,Калининский ,"Полюстровский пр., д.19, к.3",1
4.496,Калининский ,"Полюстровский пр., д.33, к.3",2
4.497,Калининский ,"Просвещения пр., д.106, к.1",2
4.498,Калининский ,"Просвещения пр., д.106, к.2",1
4.499,Калининский ,"Просвещения пр., д.53, к.1",7
4.500,Калининский ,"Просвещения пр., д.53, к.4",2
4.501,Калининский ,"Просвещения пр., д.67",3
4.502,Калининский ,"Просвещения пр., д.68, к.4",2
4.503,Калининский ,"Просвещения пр., д.69",1
4.504,Калининский ,"Просвещения пр., д.70, к.2",2
4.505,Калининский ,"Просвещения пр., д.72",3
4.506,Калининский ,"Просвещения пр., д.75",2
4.507,Калининский ,"Просвещения пр., д.76",2
4.508,Калининский ,"Просвещения пр., д.78",11
4.509,Калининский ,"Просвещения пр., д.82, к.1",5
4.510,Калининский ,"Просвещения пр., д.82, к.3",9
4.511,Калининский ,"Просвещения пр., д.84",2
4.512,Калининский ,"Просвещения пр., д.84, к.1",8
4.513,Калининский ,"Просвещения пр., д.84, к.2",2
4.514,Калининский ,"Просвещения пр., д.84, к.3",7
4.515,Калининский ,"Просвещения пр., д.86, к.2",6
4.516,Калининский ,"Просвещения пр., д.86, к.3",9
4.517,Калининский ,"Просвещения пр., д.87, к.1",13
4.518,Калининский ,"Просвещения пр., д.91",2
4.519,Калининский ,"Руставели ул., д.10",12
4.520,Калининский ,"Руставели ул., д.16",9
4.521,Калининский ,"Руставели ул., д.18",1
4.522,Калининский ,"Руставели ул., д.2",15
4.523,Калининский ,"Руставели ул., д.20",8
4.524,Калининский ,"Руставели ул., д.22, к.1",10
4.525,Калининский ,"Руставели ул., д.24",5
4.526,Калининский ,"Руставели ул., д.26",1
4.527,Калининский ,"Руставели ул., д.28",5
4.528,Калининский ,"Руставели ул., д.30",10
4.529,Калининский ,"Руставели ул., д.32",5
4.530,Калининский ,"Руставели ул., д.34, к.1",8
4.531,Калининский ,"Руставели ул., д.34, к.2",1
4.532,Калининский ,"Руставели ул., д.37",3
4.533,Калининский ,"Руставели ул., д.48, к.3",6
4.534,Калининский ,"Руставели ул., д.56",3
4.535,Калининский ,"Руставели ул., д.58, к.1",12
4.536,Калининский ,"Руставели ул., д.6",9
4.537,Калининский ,"Руставели ул., д.64, к.1",7
4.538,Калининский ,"Свердловская наб., д.18",1
4.539,Калининский ,"Светлановский пр., д.103",2
4.540,Калининский ,"Светлановский пр., д.105, п.1",1
4.541,Калининский ,"Светлановский пр., д.107",4
4.542,Калининский ,"Светлановский пр., д.109, к.1",2
4.543,Калининский ,"Светлановский пр., д.109, к.3",6
4.544,Калининский ,"Светлановский пр., д.113",2
4.545,Калининский ,"Светлановский пр., д.113, к.2",13
4.546,Калининский ,"Светлановский пр., д.117",2
4.547,Калининский ,"Светлановский пр., д.34",3
4.548,Калининский ,"Светлановский пр., д.36, к.1",3
4.549,Калининский ,"Светлановский пр., д.38, к.2",1
4.550,Калининский ,"Светлановский пр., д.40, к.3",1
4.551,Калининский ,"Светлановский пр., д.46, к.2",1
4.552,Калининский ,"Светлановский пр., д.52",8
4.553,Калининский ,"Светлановский пр., д.56",1
4.554,Калининский ,"Светлановский пр., д.58, к.2",6
4.555,Калининский ,"Светлановский пр., д.58, к.3",1
4.556,Калининский ,"Светлановский пр., д.62, к.4",1
4.557,Калининский ,"Светлановский пр., д.66",2
4.558,Калининский ,"Светлановский пр., д.72, к.1",2
4.559,Калининский ,"Светлановский пр., д.75",2
4.560,Калининский ,"Светлановский пр., д.81",1
4.561,Калининский ,"Светлановский пр., д.95",2
4.562,Калининский ,"Светлановский пр., д.97",2
4.563,Калининский ,"Светлановский пр., д.99, к.2",6
4.564,Калининский ,"Северный пр., д.61, к.1",7
4.565,Калининский ,"Северный пр., д.61, к.2",7
4.566,Калининский ,"Северный пр., д.63, к.2",6
4.567,Калининский ,"Северный пр., д.63, к.4",6
4.568,Калининский ,"Северный пр., д.63, к.5",6
4.569,Калининский ,"Северный пр., д.67",7
4.570,Калининский ,"Северный пр., д.73, к.3",5
4.571,Калининский ,"Северный пр., д.73, к.4",5
4.572,Калининский ,"Северный пр., д.77, к.2",5
4.573,Калининский ,"Северный пр., д.77, к.3",5
4.574,Калининский ,"Северный пр., д.83, п.1",1
4.575,Калининский ,"Северный пр., д.85, к.1",4
4.576,Калининский ,"Северный пр., д.87, к.4",8
4.577,Калининский ,"Северный пр., д.89, к.1",7
4.578,Калининский ,"Северный пр., д.89, к.2",8
4.579,Калининский ,"Северный пр., д.89, к.3",2
4.580,Калининский ,"Северный пр., д.89, к.4",5
4.581,Калининский ,"Северный пр., д.91, к.1",4
4.582,Калининский ,"Северный пр., д.91, к.2",5
4.583,Калининский ,"Северный пр., д.91, к.3",5
4.584,Калининский ,"Северный пр., д.91, к.4",5
4.585,Калининский ,"Северный пр., д.91, к.5,",5
4.586,Калининский ,"Софьи Ковалевской ул., д.1, к.1",9
4.587,Калининский ,"Софьи Ковалевской ул., д.10",1
4.588,Калининский ,"Софьи Ковалевской ул., д.10, к.2",1
4.589,Калининский ,"Софьи Ковалевской ул., д.11, к.3",8
4.590,Калининский ,"Софьи Ковалевской ул., д.11, к.6, п.1",1
4.591,Калининский ,"Софьи Ковалевской ул., д.11, к.7, п.1",1
4.592,Калининский ,"Софьи Ковалевской ул., д.12, к.1",2
4.593,Калининский ,"Софьи Ковалевской ул., д.13, к.1",8
4.594,Калининский ,"Софьи Ковалевской ул., д.13, к.5",1
4.595,Калининский ,"Софьи Ковалевской ул., д.13, к.6",1
4.596,Калининский ,"Софьи Ковалевской ул., д.15, к.1",8
4.597,Калининский ,"Софьи Ковалевской ул., д.16",9
4.598,Калининский ,"Софьи Ковалевской ул., д.16, к.3",8
4.599,Калининский ,"Софьи Ковалевской ул., д.16, к.6",2
4.600,Калининский ,"Софьи Ковалевской ул., д.18",5
4.601,Калининский ,"Софьи Ковалевской ул., д.3, к.1",1
4.602,Калининский ,"Софьи Ковалевской ул., д.3, к.2",1
4.603,Калининский ,"Софьи Ковалевской ул., д.3, к.3",8
4.604,Калининский ,"Софьи Ковалевской ул., д.3, к.4",8
4.605,Калининский ,"Софьи Ковалевской ул., д.4",2
4.606,Калининский ,"Софьи Ковалевской ул., д.7, к.1",3
4.607,Калининский ,"Софьи Ковалевской ул., д.8, к.2",1
4.608,Калининский ,"Софьи Ковалевской ул., д.8, к.3",3
4.609,Калининский ,"Софьи Ковалевской ул., д.9, к.2",8
4.610,Калининский ,"Софьи Ковалевской ул., д.9, к.3",1
4.611,Калининский ,"Суздальский пр., д.105, к.1",9
4.612,Калининский ,"Суздальский пр., д.105, к.2",6
